source	target	Co-exp
AT3G58730	AT5G39570	1.8338315804536087
AT3G58730	AT1G24764	-0.3528903064647147
AT3G58730	AT4G15530	1.1467755342471897
AT3G58730	AT4G27450	0.6538558223541315
AT3G58730	AT3G13920	1.6062191738439675
AT3G58730	AT1G07110	-0.1874941438299738
AT3G58730	AT5G47700	1.0995644890868557
AT3G58730	AT3G51800	0.7127463159983151
AT3G58730	AT3G53420	1.5166746306230698
AT3G58730	AT4G35100	0.885181892608718
AT3G58730	AT3G52930	1.72095268084094
AT3G58730	AT3G15450	0.271721311464317
AT3G58730	AT3G14310	1.6628347130459948
AT3G58730	AT1G42550	-0.113487229462779
AT3G58730	AT1G05150	0.4084869456953438
AT3G58730	AT1G72160	1.465822108424175
AT3G58730	AT5G22650	0.48323136894963403
AT3G58730	AT5G64330	0.3538039409696013
AT3G58730	AT5G57110	0.4801979528479527
AT3G58730	AT4G38970	0.8978135441409969
AT3G58730	AT4G32180	1.2846239675739815
AT3G58730	AT4G11860	0.8822538144177446
AT3G58730	AT3G48740	0.8036984262876374
AT3G58730	AT1G70770	1.7989143592481607
AT3G58730	AT5G66570	1.0357987445371413
AT3G58730	AT3G20550	-0.4751201700908833
AT3G58730	AT4G24275	0.2192140942920396
AT3G58730	AT2G29210	-0.3373848243303557
AT3G58730	AT1G48480	0.5474356865989718
AT3G58730	AT3G02880	1.5093850749875115
AT3G58730	AT5G60660	0.7986645944674845
AT3G58730	AT4G25960	-0.5168836379316488
AT3G58730	AT5G16590	0.992830492281671
AT3G58730	AT2G45820	0.6865290877396486
AT3G58730	AT4G30190	1.567028448135711
AT3G58730	AT3G28860	0.49857755260867165
AT3G58730	AT2G18960	1.5294341514720255
AT3G58730	AT5G62670	-0.38948331892811483
AT3G58730	AT3G17840	-0.305014943608649
AT3G58730	AT3G08600	0.8469878587122689
AT3G58730	AT2G39010	1.6237460244692279
AT3G58730	AT1G24180	1.7340013786518529
AT3G58730	AT4G27430	0.8949160340358286
AT3G58730	AT3G45780	0.4010547389926958
AT3G58730	AT1G69200	-0.5364324310963702
AT3G58730	AT4G31880	0.29679761821054707
