protein	n
Q8L7W8	2
Q8L7Z3	3
Q8L828	3
Q8L831	5
Q8L836	1
Q8L838	1
Q8L860	3
Q8L866	1
Q8L8Q8	1
Q8L8R4	1
Q8L8T2	2
Q8L8Z1	1
Q8L940	2
Q8L9A0	4
Q8L9L9	7
Q8L9M8	1
Q8L9S7	6
Q8L9W8	1
Q8L9Y0	2
Q8LA13	3
Q8LA16	2
Q8LA96	1
Q8LAA0	5
Q8LAA6	5
Q8LAA7	2
Q8LAC4	2
Q8LAD0	3
Q8LAK5	1
Q8LAP6	1
Q8LAR0	1
Q8LAS8	2
Q8LAZ7	4
Q8LB02	1
Q8LB10	4
Q8LB17	1
Q8LB47	1
Q8LB54	3
Q8LB72	1
Q8LBB2	4
Q8LBH4	3
Q8LBI1	3
Q8LBK6	2
Q8LBN7	2
Q8LBS4	1
Q8LC68	3
Q8LCA1	3
Q8LCE1	2
Q8LCP6	2
Q8LCQ4	1
Q8LCT3	1
Q8LCW9	3
Q8LD03	1
Q8LD27	4
Q8LD46	2
Q8LDB7	3
Q8LDK5	1
Q8LDL0	1
Q8LDN8	4
Q8LDP4	5
Q8LDQ4	2
Q8LDQ8	2
Q8LDU4	6
Q8LDV3	1
Q8LE26	2
Q8LE47	3
Q8LE52	3
Q8LE58	2
Q8LEB2	2
Q8LEB6	2
Q8LEG3	1
Q8LEQ0	4
Q8LER3	3
Q8LEU3	1
Q8LEZ4	2
Q8LF20	3
Q8LF21	6
Q8LF28	2
Q8LF48	2
Q8LF97	3
Q8LF99	2
Q8LFC0	1
Q8LFD1	2
Q8LFH3	2
Q8LFJ5	3
Q8LFS6	2
Q8LFT2	5
Q8LG11	2
Q8LG50	1
Q8LG77	2
Q8LG98	5
Q8LGC6	5
Q8LGE3	1
Q8LGF7	1
Q8LGG0	2
Q8LGG8	2
Q8LGI2	1
Q8LKS5	2
Q8LL04	3
Q8LPF0	1
Q8LPG9	4
Q8LPI5	4
Q8LPJ3	2
Q8LPJ4	1
Q8LPK2	5
Q8LPK4	3
Q8LPL3	3
Q8LPN7	1
Q8LPQ7	5
Q8LPQ8	1
Q8LPR8	4
Q8LPS1	4
Q8LPS6	1
Q8LPS9	3
Q8LPT1	4
Q8LPT3	2
Q8LRK9	1
Q8RU07	1
Q8RUD6	1
Q8RUF8	2
Q8RUH0	8
Q8RUW5	3
Q8RV79	4
Q8RW90	3
Q8RW94	3
Q8RWB1	4
Q8RWB7	2
Q8RWC0	3
Q8RWC5	2
Q8RWD5	3
Q8RWD8	1
Q8RWD9	1
Q8RWE1	3
Q8RWF0	6
Q8RWG8	1
Q8RWI0	1
Q8RWI2	3
Q8RWI9	2
Q8RWL2	2
Q8RWL6	1
Q8RWM2	1
Q8RWN3	2
Q8RWN5	3
Q8RWN7	1
Q8RWN9	8
Q8RWP0	2
Q8RWQ1	1
Q8RWQ4	2
Q8RWQ9	1
Q8RWR1	4
Q8RWT4	1
Q8RWT5	2
Q8RWU1	3
Q8RWU7	3
Q8RWV0	3
Q8RWV3	1
Q8RWV9	4
Q8RWW0	1
Q8RWW3	2
Q8RWY3	2
Q8RWY6	1
Q8RWY7	3
Q8RWZ3	6
Q8RWZ6	2
Q8RWZ7	1
Q8RX01	2
Q8RX28	4
Q8RX56	5
Q8RX71	2
Q8RX72	1
Q8RX79	1
Q8RX85	2
Q8RX86	1
Q8RX87	1
Q8RX88	2
Q8RX89	1
Q8RXD5	3
Q8RXD9	6
Q8RXF1	5
Q8RXF8	1
Q8RXG3	1
Q8RXN0	5
Q8RXN4	1
Q8RXN5	1
Q8RXN7	3
Q8RXQ4	4
Q8RXS1	3
Q8RXS5	2
Q8RXU4	2
Q8RXV3	6
Q8RXX5	2
Q8RXX9	2
Q8RXZ8	4
Q8RY09	2
Q8RY11	2
Q8RY15	3
Q8RY22	4
Q8RY25	1
Q8RY79	3
Q8RYE9	1
Q8S2T0	5
Q8S3U9	4
Q8S4F6	1
Q8S4Y1	5
Q8S8L9	5
Q8S8N9	1
Q8S8P4	1
Q8S8S8	1
Q8S8S9	1
Q8S8T4	1
Q8S944	2
Q8S9I4	5
Q8S9J1	1
Q8S9J2	1
Q8S9J6	4
Q8S9J8	5
Q8S9K8	4
Q8S9L5	4
Q8S9M1	1
Q8SAB7	4
Q8VWF1	2
Q8VWF6	3
Q8VWG7	2
Q8VWK4	2
Q8VXV4	3
Q8VXX0	2
Q8VXX3	3
Q8VXX5	2
Q8VXZ0	2
Q8VXZ9	3
Q8VY00	6
Q8VY07	3
Q8VY15	4
Q8VY22	1
Q8VY61	3
Q8VY70	1
Q8VY78	3
Q8VY92	3
Q8VY97	2
Q8VYB2	1
Q8VYB7	4
Q8VYB9	3
Q8VYC9	4
Q8VYF5	1
Q8VYF7	1
Q8VYG0	3
Q8VYG2	1
Q8VYG9	6
Q8VYH6	4
Q8VYI0	3
Q8VYI4	3
Q8VYJ1	2
Q8VYM2	1
Q8VYM4	1
Q8VYM6	3
Q8VYN9	1
Q8VYR5	1
Q8VYS2	2
Q8VYS8	2
Q8VYU7	1
Q8VYU8	1
Q8VYV0	3
Q8VYY8	5
Q8VZ08	5
Q8VZ10	2
Q8VZ13	3
Q8VZ18	1
Q8VZ19	3
Q8VZ49	2
Q8VZ50	3
Q8VZ55	4
Q8VZ57	1
Q8VZ67	3
Q8VZ74	1
Q8VZ80	2
Q8VZ95	2
Q8VZB1	4
Q8VZB9	3
Q8VZC7	1
Q8VZE7	6
Q8VZE9	1
Q8VZF1	2
Q8VZF3	3
Q8VZG1	3
Q8VZG7	4
Q8VZG8	5
Q8VZH1	1
Q8VZH2	6
Q8VZI2	2
Q8VZI8	1
Q8VZI9	3
Q8VZJ5	3
Q8VZJ7	5
Q8VZJ9	3
Q8VZK0	1
Q8VZK2	2
Q8VZK9	1
Q8VZL1	2
Q8VZM1	2
Q8VZM5	1
Q8VZN9	1
Q8VZS8	3
Q8VZT0	2
Q8VZT8	6
Q8VZU2	5
Q8VZU4	1
Q8VZV6	2
Q8VZV9	1
Q8VZW3	1
Q8VZW6	4
Q8W0Y8	1
Q8W0Y9	1
Q8W0Z6	2
Q8W0Z7	7
Q8W103	2
Q8W117	8
Q8W1E4	1
Q8W1X2	4
Q8W206	3
Q8W207	2
Q8W3M6	2
Q8W463	2
Q8W464	3
Q8W465	1
Q8W474	3
Q8W475	1
Q8W486	3
Q8W491	6
Q8W493	2
Q8W494	3
Q8W498	1
Q8W4A0	2
Q8W4A5	4
Q8W4B1	4
Q8W4C1	2
Q8W4D6	3
Q8W4D8	5
Q8W4E1	2
Q8W4E2	8
Q8W4F3	3
Q8W4H8	2
Q8W4I7	3
Q8W4J9	4
Q8W4K2	5
Q8W4K6	1
Q8W4L3	6
Q8W4M5	7
Q8W4N1	1
Q8W4N3	2
Q8W4P1	2
Q8W4P8	1
Q8W4P9	1
Q8W4Q1	1
Q8W4Q4	8
Q8W4S4	6
Q8W575	5
Q8W585	3
Q8W586	2
Q8W593	2
Q8W5R5	1
Q8W5R6	3
Q93V47	2
Q93V56	1
Q93V62	3
Q93V84	1
Q93V93	2
Q93VA8	1
Q93VB0	5
Q93VC7	3
Q93VK7	2
Q93VM9	2
Q93VP9	1
Q93VQ6	2
Q93VR3	4
Q93VS8	5
Q93VT6	3
Q93VT9	2
Q93W02	2
Q93W03	1
Q93W22	4
Q93W28	2
Q93W34	1
Q93W95	3
Q93WD7	2
Q93WG3	2
Q93WI0	3
Q93WJ8	8
Q93WL3	2
Q93WN0	3
Q93WX6	5
Q93XM7	2
Q93XN8	1
Q93XW5	3
Q93XX8	3
Q93XZ7	2
Q93Y06	4
Q93Y16	3
Q93Y22	2
Q93Y25	3
Q93Y35	5
Q93Y39	1
Q93Y40	1
Q93YN1	1
Q93YN9	1
Q93YP9	3
Q93YR3	7
Q93YS4	7
Q93YU5	4
Q93YU6	4
Q93YV2	1
Q93YV7	2
Q93YW0	1
Q93YW5	3
Q93Z10	2
Q93Z16	2
Q93Z18	2
Q93Z25	2
Q93Z30	8
Q93Z53	1
Q93Z70	3
Q93Z72	3
Q93ZB2	1
Q93ZB6	4
Q93ZC9	2
Q93ZE8	1
Q93ZG9	7
Q93ZH3	2
Q93ZH7	4
Q93ZI7	2
Q93ZM0	2
Q93ZM7	4
Q93ZN2	5
Q93ZN4	2
Q93ZN5	2
Q93ZN9	4
Q93ZR1	1
Q93ZR3	3
Q93ZS6	2
Q93ZT6	6
Q93ZV7	3
Q93ZV8	3
Q93ZW3	2
Q93ZX1	1
Q93ZX4	2
Q93ZY6	3
Q940B0	1
Q940B8	1
Q940B9	2
Q940G5	1
Q940H7	3
Q940I2	6
Q940J8	5
Q940P0	4
Q940Q1	1
Q940S3	8
Q940U6	2
Q940U9	3
Q940V1	1
Q940X9	3
Q940Y3	4
Q940Y5	4
Q940Y8	1
Q940Z1	3
Q940Z5	1
Q941A0	3
Q941A4	6
Q941A6	1
Q941D3	3
Q941D5	3
Q941D6	1
Q941L0	4
Q941L3	1
Q941R6	1
Q943Z6	2
Q944A6	2
Q944A7	5
Q944A9	2
Q944C1	1
Q944G5	1
Q944H0	6
Q944K2	3
Q944L8	3
Q944P7	8
Q944Q6	3
Q944S1	2
Q945K7	3
Q945M1	1
Q945N1	5
Q945Q1	3
Q945Q5	3
Q946Y7	1
Q948K8	3
Q949M9	5
Q949P2	2
Q949P3	1
Q949Q5	5
Q949S6	1
Q949S7	2
Q949S9	7
Q949V6	4
Q949W8	6
Q949X9	3
Q949Y3	1
Q94A09	1
Q94A40	3
Q94A41	3
Q94A52	3
Q94A65	3
Q94A68	3
Q94A82	7
Q94A97	1
Q94AA3	5
Q94AC6	1
Q94AC8	2
Q94AD1	2
Q94AF7	4
Q94AG2	3
Q94AG6	2
Q94AH2	1
Q94AH6	3
Q94AH9	1
Q94AI4	3
Q94AI6	3
Q94AI7	4
Q94AI8	2
Q94AJ9	1
Q94AK8	4
Q94AM1	4
Q94AM9	5
Q94AS5	1
Q94AT1	5
Q94AU3	1
Q94AV5	2
Q94AW8	4
Q94AW9	3
Q94AZ2	2
Q94AZ4	3
Q94AZ5	3
Q94B08	1
Q94B35	1
Q94B52	4
Q94B60	3
Q94B74	1
Q94BN1	4
Q94BN2	4
Q94BQ2	3
Q94BQ3	2
Q94BR1	2
Q94BR2	4
Q94BR4	4
Q94BS2	3
Q94BT0	3
Q94BU8	4
Q94BV4	2
Q94BV7	1
Q94BY3	4
Q94BY7	3
Q94BZ6	1
Q94C12	1
Q94C48	3
Q94C53	2
Q94C57	2
Q94C59	5
Q94C60	1
Q94C69	2
Q94CB1	1
Q94CD1	1
Q94CD5	5
Q94CE3	2
Q94CE4	5
Q94CE5	3
Q94CF0	4
Q94CF4	1
Q94CJ5	2
Q94CK1	3
Q94EG6	4
Q94EH8	1
Q94EI3	3
Q94EJ6	1
Q94F00	1
Q94F28	2
Q94F40	2
Q94F49	4
Q94F62	4
Q94FB9	1
Q94FN2	1
Q94IB8	2
Q94II3	1
Q94II5	4
Q94IU8	3
Q94JQ7	2
Q94JS4	2
Q94JU3	5
Q94JV2	1
Q94JW0	1
Q94JX8	2
Q94JX9	5
Q94JY0	3
Q94JY3	4
Q94K05	4
Q94K07	3
Q94K14	7
Q94K30	1
Q94K36	3
Q94K48	4
Q94K71	5
Q94K73	3
Q94K75	1
Q94K85	1
Q94K88	1
Q94K97	2
Q94KD0	3
Q94KD3	3
Q94KE3	2
Q94KI8	1
Q94KJ7	1
Q94KK7	1
Q95747	2
Q95749	3
Q96251	2
Q96252	2
Q96253	3
Q96254	2
Q96255	5
Q96262	9
Q96266	1
Q96283	2
Q96290	2
Q96291	1
Q96293	2
Q96299	7
Q96300	3
Q96303	1
Q96318	2
Q96321	1
Q96327	1
Q96328	1
Q96329	3
Q96514	1
Q96518	1
Q96520	2
Q96522	3
Q96528	2
Q96529	1
Q96533	5
Q9ASP6	1
Q9ASQ5	3
Q9ASR4	6
Q9ASS2	3
Q9ASS4	2
Q9ASS6	1
Q9AST9	2
Q9ASU6	2
Q9ASW5	1
Q9ASW8	2
Q9ASZ4	1
Q9AV97	1
Q9C500	2
Q9C522	2
Q9C524	1
Q9C525	4
Q9C550	1
Q9C551	3
Q9C554	1
Q9C565	1
Q9C566	1
Q9C574	3
Q9C576	1
Q9C580	2
Q9C585	3
Q9C587	3
Q9C5C0	3
Q9C5C2	2
Q9C5C4	6
Q9C5C7	1
Q9C5E5	1
Q9C5E8	4
Q9C5G5	2
Q9C5H4	1
Q9C5H9	2
Q9C5I1	2
Q9C5J3	2
Q9C5K7	1
Q9C5M0	2
Q9C5M7	1
Q9C5R8	1
Q9C5U3	4
Q9C5U8	2
Q9C5X3	2
Q9C5Y0	5
Q9C5Z1	4
Q9C5Z2	2
Q9C5Z3	3
Q9C636	3
Q9C685	2
Q9C698	2
Q9C6B9	5
Q9C6C2	4
Q9C6C3	1
Q9C6D2	5
Q9C6E4	2
Q9C6I8	2
Q9C6K3	1
Q9C6L0	6
Q9C6P3	2
Q9C6T1	1
Q9C6X2	3
Q9C6Z3	1
Q9C712	4
Q9C713	3
Q9C718	1
Q9C723	2
Q9C744	3
Q9C774	7
Q9C787	3
Q9C7A2	3
Q9C7C3	3
Q9C7C4	3
Q9C7E7	3
Q9C7F2	2
Q9C7F7	3
Q9C7G4	1
Q9C7G5	1
Q9C7N2	1
Q9C7N4	5
Q9C7V7	6
Q9C7W1	1
Q9C7W4	2
Q9C7W7	8
Q9C7X5	1
Q9C801	4
Q9C820	1
Q9C821	1
Q9C823	1
Q9C824	1
Q9C826	1
Q9C829	3
Q9C835	1
Q9C865	2
Q9C875	2
Q9C882	3
Q9C891	5
Q9C8C9	1
Q9C8D3	2
Q9C8D8	3
Q9C8E6	5
Q9C8F1	5
Q9C8F7	3
Q9C8G5	5
Q9C8G9	2
Q9C8H3	1
Q9C8I1	1
Q9C8K2	4
Q9C8L4	3
Q9C8L9	1
Q9C8M3	2
Q9C8M9	7
Q9C8P0	3
Q9C8T5	4
Q9C8Y9	3
Q9C8Z4	5
Q9C901	1
Q9C911	3
Q9C920	4
Q9C928	3
Q9C942	3
Q9C944	1
Q9C950	4
Q9C952	1
Q9C958	1
Q9C969	3
Q9C977	2
Q9C998	6
Q9C9B0	2
Q9C9B4	3
Q9C9B5	3
Q9C9B9	1
Q9C9C0	3
Q9C9C4	3
Q9C9C5	1
Q9C9C9	5
Q9C9D0	3
Q9C9G5	2
Q9C9H8	3
Q9C9K3	2
Q9C9L0	1
Q9C9M1	4
Q9C9N6	4
Q9C9P3	3
Q9C9Q4	1
Q9C9U4	3
Q9C9U5	1
Q9C9U9	2
Q9C9V6	1
Q9C9V9	4
Q9C9X0	6
Q9C9Y8	5
Q9C9Z6	2
Q9CA19	1
Q9CA23	3
Q9CA40	2
Q9CA42	1
Q9CA59	5
Q9CA83	2
Q9CA90	4
Q9CAA0	2
Q9CAC1	5
Q9CAD1	6
Q9CAE4	1
Q9CAF4	1
Q9CAF5	1
Q9CAG1	3
Q9CAI3	5
Q9CAK8	4
Q9CAL2	3
Q9CAL3	3
Q9CAP1	1
Q9CAR3	2
Q9CAR7	7
Q9CAT3	3
Q9CAT7	3
Q9CAU9	2
Q9CAW4	3
Q9CAX3	1
Q9CAX7	2
Q9CB01	1
Q9FDW8	1
Q9FDX9	3
Q9FE06	1
Q9FE18	1
Q9FE46	1
Q9FE65	1
Q9FE68	4
Q9FE78	2
Q9FEE2	1
Q9FEF8	3
Q9FEN9	3
Q9FF53	1
Q9FF55	2
Q9FF75	1
Q9FF80	3
Q9FF81	1
Q9FF90	2
Q9FFA5	2
Q9FFC7	3
Q9FFD8	4
Q9FFE0	2
Q9FFE6	6
Q9FFF3	5
Q9FFF8	7
Q9FFH1	1
Q9FFH3	1
Q9FFH8	6
Q9FFI2	2
Q9FFK7	2
Q9FFP6	2
Q9FFQ0	4
Q9FFQ7	1
Q9FFR3	1
Q9FFT4	8
Q9FFT6	5
Q9FFU3	1
Q9FFW8	3
Q9FG01	4
Q9FG23	1
Q9FG36	3
Q9FG37	5
Q9FG67	4
Q9FG71	1
Q9FG73	5
Q9FG81	1
Q9FGB1	7
Q9FGC7	3
Q9FGE4	2
Q9FGF0	8
Q9FGF4	3
Q9FGH3	6
Q9FGH9	2
Q9FGI6	3
Q9FGI9	4
Q9FGK3	5
Q9FGN0	4
Q9FGR0	4
Q9FGT8	3
Q9FGU1	1
Q9FGX1	3
Q9FGY1	1
Q9FGY9	1
Q9FH02	1
Q9FH04	7
Q9FH13	5
Q9FH31	3
Q9FH80	1
Q9FH82	1
Q9FH98	1
Q9FHA3	1
Q9FHD7	2
Q9FHE9	2
Q9FHG3	1
Q9FHI6	1
Q9FHM7	3
Q9FHN8	1
Q9FHR8	4
Q9FHT0	2
Q9FHW7	3
Q9FHX5	3
Q9FHY1	1
Q9FHY8	1
Q9FI15	1
Q9FI36	1
Q9FI39	1
Q9FI40	1
Q9FI47	2
Q9FI53	3
Q9FI56	2
Q9FI78	1
Q9FI80	2
Q9FI94	5
Q9FI97	1
Q9FIA0	3
Q9FIB2	1
Q9FIB6	5
Q9FIC3	2
Q9FID2	4
Q9FID9	4
Q9FIE4	2
Q9FIE8	4
Q9FIH3	2
Q9FIL1	5
Q9FIL3	1
Q9FIM2	1
Q9FIM9	2
Q9FIN7	4
Q9FIQ0	2
Q9FIS4	1
Q9FIU1	1
Q9FIW4	4
Q9FIX1	1
Q9FIZ7	5
Q9FJ41	2
Q9FJ57	1
Q9FJ91	3
Q9FJ95	7
Q9FJD0	1
Q9FJD4	4
Q9FJE8	3
Q9FJH6	2
Q9FJI5	5
Q9FJK8	2
Q9FJN8	3
Q9FJR0	1
Q9FJT8	3
Q9FJW0	4
Q9FJX2	1
Q9FJX3	5
Q9FJY6	1
Q9FJY7	1
Q9FJZ7	2
Q9FJZ9	3
Q9FK25	1
Q9FK59	2
Q9FK60	3
Q9FK68	5
Q9FK91	5
Q9FKA3	4
Q9FKA4	1
Q9FKA5	5
Q9FKC0	3
Q9FKH6	5
Q9FKI4	5
Q9FKK1	1
Q9FKK7	1
Q9FKM4	6
Q9FKN7	3
Q9FKP0	1
Q9FKP4	6
Q9FKP8	3
Q9FKS0	2
Q9FKS8	1
Q9FKT5	2
Q9FKV7	3
Q9FKW4	3
Q9FKW5	3
Q9FKZ4	1
Q9FL12	3
Q9FL13	1
Q9FL72	1
Q9FLD3	3
Q9FLH0	2
Q9FLI4	2
Q9FLM4	1
Q9FLN4	1
Q9FLN9	1
Q9FLP0	4
Q9FLP6	5
Q9FLQ4	2
Q9FLT0	2
Q9FLT2	6
Q9FLW0	2
Q9FLX7	1
Q9FLY5	1
Q9FM01	2
Q9FM04	1
Q9FM19	5
Q9FM47	2
Q9FM54	3
Q9FM65	6
Q9FM71	2
Q9FM77	4
Q9FM97	1
Q9FMA3	1
Q9FMB4	6
Q9FMC7	2
Q9FMD5	2
Q9FMD7	6
Q9FME2	2
Q9FME4	1
Q9FMF3	2
Q9FMF5	2
Q9FMF9	5
Q9FMG0	4
Q9FMI2	1
Q9FMI8	2
Q9FMJ0	1
Q9FML2	1
Q9FML3	1
Q9FMM3	3
Q9FMN0	2
Q9FMP0	4
Q9FMP8	1
Q9FMR9	5
Q9FMS0	3
Q9FMT1	3
Q9FMT4	3
Q9FMV3	1
Q9FMX0	2
Q9FMY5	2
Q9FN02	1
Q9FN08	1
Q9FN19	4
Q9FN33	2
Q9FN41	3
Q9FN42	1
Q9FN50	2
Q9FN89	1
Q9FN91	2
Q9FNA4	2
Q9FNA9	3
Q9FNC4	3
Q9FNC9	1
Q9FND0	2
Q9FND9	3
Q9FNE2	1
Q9FNE4	3
Q9FNF2	1
Q9FNF6	1
Q9FNG6	1
Q9FNH2	3
Q9FNH4	4
Q9FNH6	6
Q9FNI7	1
Q9FNM0	1
Q9FNM5	2
Q9FNN1	2
Q9FNN2	1
Q9FNN5	1
Q9FNP8	1
Q9FNQ1	2
Q9FNR1	1
Q9FNX5	6
Q9FNZ1	1
Q9FPF0	1
Q9FPG2	2
Q9FPH2	2
Q9FPH3	8
Q9FPI0	6
Q9FPJ8	4
Q9FPR3	2
Q9FPS3	1
Q9FPT1	6
Q9FQ03	1
Q9FQ04	2
Q9FQ09	1
Q9FQ24	5
Q9FQ25	1
Q9FR37	1
Q9FR44	7
Q9FRL0	5
Q9FRL3	1
Q9FRL5	1
Q9FRL8	1
Q9FRS7	1
Q9FT52	2
Q9FT53	1
Q9FT77	1
Q9FT93	2
Q9FUP0	3
Q9FUS8	2
Q9FUY2	3
Q9FUZ2	3
Q9FV50	1
Q9FV52	4
Q9FV53	2
Q9FVE6	3
Q9FVJ3	2
Q9FVP6	1
Q9FVQ5	3
Q9FVR1	1
Q9FVR6	1
Q9FVT2	3
Q9FVV7	4
Q9FVW3	1
Q9FVW4	7
Q9FWA4	3
Q9FWR4	5
Q9FWT4	1
Q9FWX7	3
Q9FWY7	2
Q9FX08	2
Q9FX32	3
Q9FX34	2
Q9FX53	3
Q9FX94	4
Q9FX99	2
Q9FXA1	1
Q9FXA2	6
Q9FXB0	2
Q9FXC0	3
Q9FXD4	3
Q9FXH3	1
Q9FXI5	4
Q9FXT6	2
Q9FY48	2
Q9FY49	7
Q9FY50	4
Q9FY54	1
Q9FY61	1
Q9FY64	1
Q9FY99	1
Q9FYB7	6
Q9FYF8	1
Q9FYK3	3
Q9FYR6	5
Q9FZ06	1
Q9FZ42	1
Q9FZ43	7
Q9FZ45	1
Q9FZ47	2
Q9FZ48	1
Q9FZ55	2
Q9FZA2	4
Q9FZB1	1
Q9FZD2	2
Q9FZE1	1
Q9FZG2	6
Q9FZH0	3
Q9FZK4	4
Q9LD43	1
Q9LD55	2
Q9LD57	2
Q9LD90	1
Q9LDA7	6
Q9LDC0	1
Q9LDD8	2
Q9LDI3	2
Q9LDI9	4
Q9LDK9	1
Q9LDY5	1
Q9LDY9	4
Q9LDZ5	1
Q9LE22	3
Q9LE59	2
Q9LE80	3
Q9LE82	6
Q9LER7	2
Q9LEU5	3
Q9LEU8	5
Q9LEU9	1
Q9LEV3	6
Q9LEW8	3
Q9LEX1	6
Q9LEY1	3
Q9LEY9	1
Q9LF02	1
Q9LF14	2
Q9LF21	2
Q9LF27	1
Q9LF30	2
Q9LF33	1
Q9LF37	3
Q9LF41	3
Q9LF46	5
Q9LF68	2
Q9LF79	5
Q9LF88	5
Q9LF97	1
Q9LFA3	5
Q9LFA4	1
Q9LFB2	3
Q9LFB5	1
Q9LFD5	2
Q9LFE0	1
Q9LFE2	1
Q9LFE4	6
Q9LFG2	3
Q9LFG3	2
Q9LFH0	3
Q9LFJ8	4
Q9LFK7	3
Q9LFL2	6
Q9LFL3	3
Q9LFM4	2
Q9LFP1	1
Q9LFT2	1
Q9LFT6	1
Q9LFU0	1
Q9LFU1	6
Q9LFW1	1
Q9LFX3	1
Q9LFX8	2
Q9LH52	2
Q9LH74	2
Q9LH76	2
Q9LHA4	8
Q9LHA7	3
Q9LHA8	3
Q9LHD1	2
Q9LHD9	1
Q9LHE5	1
Q9LHE7	2
Q9LHE9	5
Q9LHF0	4
Q9LHF1	2
Q9LHG8	3
Q9LHG9	4
Q9LHH7	5
Q9LHK9	2
Q9LHL2	3
Q9LHL7	7
Q9LHP2	8
Q9LHQ5	2
Q9LHQ7	1
Q9LHS0	1
Q9LHS5	2
Q9LHT0	1
Q9LI74	1
Q9LI83	1
Q9LIA2	1
Q9LIB2	2
Q9LIB3	3
Q9LID3	2
Q9LIF9	1
Q9LIH5	4
Q9LIH9	4
Q9LII8	1
Q9LIK1	1
Q9LIM9	1
Q9LIN0	2
Q9LIN3	4
Q9LIN4	1
Q9LIQ4	1
Q9LIQ9	1
Q9LIR6	1
Q9LJ66	3
Q9LJ87	2
Q9LJ94	3
Q9LJ98	7
Q9LJB4	1
Q9LJD8	2
Q9LJE2	3
Q9LJE4	3
Q9LJG3	3
Q9LJG8	5
Q9LJH8	1
Q9LJI5	3
Q9LJL3	4
Q9LJL8	1
Q9LJN1	5
Q9LJP2	1
Q9LJP4	1
Q9LJQ6	4
Q9LJR2	5
Q9LJW6	2
Q9LJX0	4
Q9LJX6	1
Q9LK09	1
Q9LK23	7
Q9LK25	1
Q9LK34	1
Q9LK35	3
Q9LK36	7
Q9LK40	3
Q9LK43	3
Q9LK47	7
Q9LK52	6
Q9LK61	3
Q9LK72	5
Q9LK73	4
Q9LK77	3
Q9LK88	2
Q9LK90	1
Q9LK94	1
Q9LK99	2
Q9LKA3	1
Q9LKA5	2
Q9LKB9	3
Q9LKF9	2
Q9LKU3	5
Q9LM33	3
Q9LM66	1
Q9LM76	3
Q9LM78	2
Q9LM88	3
Q9LM92	5
Q9LME4	1
Q9LMF0	1
Q9LMH0	6
Q9LMK7	2
Q9LML3	1
Q9LML6	2
Q9LMM0	1
Q9LMQ2	4
Q9LMR1	1
Q9LMS7	6
Q9LMT2	2
Q9LMU0	2
Q9LN09	1
Q9LN49	2
Q9LN62	2
Q9LNB2	1
Q9LNB6	2
Q9LNC4	5
Q9LNC5	5
Q9LNC6	2
Q9LNE4	2
Q9LNE6	1
Q9LNH6	3
Q9LNJ0	1
Q9LNJ3	4
Q9LNP3	2
Q9LNU4	4
Q9LNV5	3
Q9LP45	5
Q9LP53	5
Q9LP67	3
Q9LP77	6
Q9LPC5	2
Q9LPC6	5
Q9LPC8	1
Q9LPG2	1
Q9LPG6	1
Q9LPK9	1
Q9LPL6	2
Q9LPN5	2
Q9LPT6	2
Q9LPU8	3
Q9LPV8	3
Q9LPW0	1
Q9LPZ1	1
Q9LPZ4	6
Q9LQ04	4
Q9LQ11	1
Q9LQ31	2
Q9LQ55	5
Q9LQ81	5
Q9LQ83	3
Q9LQ96	5
Q9LQF2	3
Q9LQK0	2
Q9LQK7	3
Q9LQP8	1
Q9LQQ3	3
Q9LQR8	7
Q9LQU7	3
Q9LQZ4	2
Q9LR33	2
Q9LR44	5
Q9LR64	2
Q9LR65	3
Q9LR75	1
Q9LRA7	3
Q9LRP1	7
Q9LRP2	2
Q9LRR9	1
Q9LRS0	1
Q9LRT1	3
Q9LRX8	1
Q9LRZ3	7
Q9LS26	6
Q9LS40	2
Q9LS42	2
Q9LS47	1
Q9LS48	2
Q9LS94	1
Q9LS97	3
Q9LSA1	2
Q9LSA3	1
Q9LSC2	1
Q9LSE4	1
Q9LSI8	3
Q9LSI9	3
Q9LSK7	1
Q9LSQ5	3
Q9LSS0	1
Q9LSS4	1
Q9LSS5	5
Q9LSU4	1
Q9LSV0	2
Q9LSW2	5
Q9LSX7	3
Q9LSY5	4
Q9LSY7	1
Q9LSY9	6
Q9LSZ8	1
Q9LSZ9	2
Q9LT08	6
Q9LT22	3
Q9LT31	5
Q9LT39	3
Q9LT75	1
Q9LT78	2
Q9LTB0	3
Q9LTB2	7
Q9LTF2	3
Q9LTH7	1
Q9LTK0	1
Q9LTR9	2
Q9LTS6	2
Q9LTT8	1
Q9LTT9	2
Q9LTU6	3
Q9LTV6	3
Q9LTW4	1
Q9LTW8	4
Q9LTX1	1
Q9LTX2	2
Q9LTX3	1
Q9LTX7	2
Q9LTX9	1
Q9LTY1	3
Q9LU05	2
Q9LU10	2
Q9LU14	1
Q9LU39	2
Q9LU46	4
Q9LU63	2
Q9LU64	1
Q9LU74	4
Q9LU86	4
Q9LU93	1
Q9LUC9	1
Q9LUD4	3
Q9LUG1	2
Q9LUG5	2
Q9LUG8	2
Q9LUI6	1
Q9LUJ5	1
Q9LUJ7	3
Q9LUK6	2
Q9LUL4	6
Q9LUN2	2
Q9LUQ6	3
Q9LUT0	5
Q9LUW0	1
Q9LUW5	2
Q9LUX9	3
Q9LV05	1
Q9LV09	4
Q9LV11	6
Q9LV14	2
Q9LV21	3
Q9LV35	6
