protein	n
F4JSZ5	1
F4JT13	1
F4JT76	1
F4JT92	1
F4JTD2	4
F4JTD8	2
F4JTE7	3
F4JTI1	1
F4JTK8	3
F4JTL0	2
F4JTN1	1
F4JTP5	2
F4JU03	2
F4JV77	1
F4JVH1	1
F4JVM4	1
F4JVS4	1
F4JVV4	3
F4JW20	5
F4JXC2	1
F4JXM9	3
F4JXW9	3
F4JYC1	3
F4JYQ8	2
F4JZX8	2
F4JZY1	4
F4K000	8
F4K0A6	1
F4K0E8	2
F4K0X5	2
F4K1C7	3
F4K1D3	2
F4K1G7	1
F4K1P9	1
F4K1R2	3
F4K1U5	6
F4K1Z0	2
F4K2A1	6
F4K2E9	2
F4K2J2	1
F4K2K3	2
F4K2Y3	6
F4K329	1
F4K330	1
F4K3U7	2
F4K3X8	1
F4K452	3
F4K455	3
F4K460	2
F4K465	2
F4K4E3	2
F4K4J0	2
F4K4L7	1
F4K4Y5	2
F4K5B9	2
F4K5J1	4
F4K5S0	1
F4K5W8	5
F4K5Y5	4
F4K657	1
F4K6X6	1
F4K6Y8	3
F4K7W6	1
F4K8L2	3
F4K8Y6	1
F4K9G5	3
F4K9W6	2
F4KAG0	1
F4KAS6	2
F4KBF3	4
F4KCC2	1
F4KCL7	1
F4KCR0	3
F4KCY1	2
F4KD71	1
F4KDH9	1
F4KDI6	2
F4KDK1	1
F4KE59	1
F4KE63	1
F4KEV7	1
F4KF27	1
F4KF65	2
F4KFT7	1
F4KG14	6
F4KG91	4
F4KGQ0	2
F4KHD5	3
F4KHH8	1
F4KHN5	1
F4KIH8	3
F4KIJ2	2
FAPP1	1
FLAG-PUP	4
GFP	4
H3K2Y6	1
MaPmCherry	1
O03042	3
O03983	3
O03986	2
O04005	1
O04019	1
O04023	5
O04083	1
O04147	1
O04153	5
O04157	1
O04193	3
O04197	2
O04209	6
O04249	2
O04308	1
O04309	2
O04310	3
O04311	3
O04314	2
O04342	1
O04350	3
O04379	1
O04420	2
O04450	2
O04486	5
O04487	2
O04496	1
O04499	8
O04551	4
O04567	5
O04616	1
O04619	2
O04630	2
O04658	2
O04663	2
O04834	2
O04846	3
O04848	3
O04905	5
O04922	4
O04951	1
O04983	1
O22100	5
O22126	3
O22146	1
O22173	3
O22187	2
O22193	1
O22203	3
O22212	3
O22218	4
O22229	2
O22263	5
O22265	4
O22268	2
O22281	3
O22287	2
O22315	3
O22446	4
O22467	5
O22468	7
O22476	3
O22607	7
O22609	4
O22633	1
O22683	1
O22711	1
O22715	1
O22764	1
O22769	3
O22773	4
O22785	5
O22793	4
O22795	1
O22797	1
O22809	6
O22820	4
O22822	3
O22826	6
O22827	4
O22832	1
O22842	1
O22860	1
O22874	1
O22892	2
O22898	8
O22899	2
O22914	2
O22922	4
O22929	2
O22940	3
O22941	7
O22947	1
O22957	5
O22959	1
O22969	2
O22978	2
O22993	1
O23016	6
O23029	1
O23034	1
O23044	3
O23052	5
O23087	1
O23095	4
O23140	2
O23144	1
O23157	3
O23166	1
O23167	1
O23170	1
O23179	2
O23207	4
O23220	2
O23231	1
O23234	1
O23247	8
O23252	3
O23254	8
O23255	8
O23264	7
O23299	2
O23324	1
O23346	3
O23365	1
O23372	1
O23401	1
O23404	3
O23406	2
O23413	3
O23461	3
O23463	2
O23482	2
O23515	1
O23553	2
O23593	3
O23617	1
O23627	8
O23628	6
O23629	2
O23654	9
O23657	2
O23676	5
O23680	1
O23702	2
O23710	6
O23715	5
O23717	2
O23722	2
O24412	5
O24454	1
O24457	2
O24496	4
O24520	1
O24521	1
O24527	2
O24633	1
O24653	4
O24658	3
O43790	1
O48528	1
O48529	2
O48549	1
O48588	3
O48626	5
O48646	4
O48661	4
O48676	2
O48683	5
O48713	5
O48723	2
O48724	5
O48788	7
O48791	1
O48802	2
O48832	5
O48844	5
O48845	1
O48917	4
O48946	4
O48963	5
O49006	4
O49048	1
O49160	2
O49203	3
O49285	2
O49299	3
O49339	3
O49377	2
O49453	2
O49457	3
O49460	4
O49482	2
O49499	5
O49543	1
O49545	4
O49552	2
O49553	5
O49570	1
O49595	2
O49596	4
O49597	1
O49603	1
O49613	1
O49627	2
O49629	3
O49636	1
O49653	6
O49675	1
O49717	2
O49841	2
O50008	6
O50061	1
O64474	2
O64490	1
O64517	3
O64530	3
O64584	2
O64586	1
O64628	3
O64632	3
O64642	1
O64644	2
