protein	species	construct	bait	replicate	intensity	batch
NbD000166.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.5985442782979126	R0563
NbD000166.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.8349780302075327	R0563
NbD000166.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.6911884722176693	R0563
NbD000167.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.6948542397078449	R0563
NbD000167.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.870062012672737	R0563
NbD000167.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.9842608598397677	R0563
NbD000167.1	Nb	35S	LST8	1 MaxLFQ Intensity	-2.2181973747557135	R0563
NbD000167.1	Nb	35S	LST8	2 MaxLFQ Intensity	-2.2317877867390354	R0563
NbD000167.1	Nb	35S	LST8	3 MaxLFQ Intensity	-2.29894262029356	R0563
NbD000167.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-2.021026561840108	R0563
NbD000167.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.9528667033085145	R0563
NbD000167.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-2.167836464986334	R0563
NbD000181.1	Nb	35S	GFP	1 MaxLFQ Intensity	-1.5053992635845435	R0563
NbD000181.1	Nb	35S	GFP	2 MaxLFQ Intensity	-1.4344170702646108	R0563
NbD000181.1	Nb	35S	GFP	3 MaxLFQ Intensity	-1.5076002990006894	R0563
NbD000181.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.6320765552286003	R0563
NbD000181.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.6908704487676156	R0563
NbD000181.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.6370962122087236	R0563
NbD000181.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-1.5206323134387913	R0563
NbD000181.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.3907340169934506	R0563
NbD000181.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-1.6847380363548832	R0563
NbD000217.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.2484722952185088	R0563
NbD000217.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.410895909979434	R0563
NbD000217.1	Nb	35S	GFP	3 MaxLFQ Intensity	-2.6757819435251147	R0563
NbD000217.1	Nb	35S	LST8	1 MaxLFQ Intensity	-2.8743193960449105	R0563
NbD000217.1	Nb	35S	LST8	2 MaxLFQ Intensity	-3.189215758429255	R0563
NbD000217.1	Nb	35S	LST8	3 MaxLFQ Intensity	-3.037348341361195	R0563
NbD000217.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.156236127274104	R0563
NbD000217.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.254096197965077	R0563
NbD000217.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.212576674308683	R0563
NbD000226.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.6481528620213356	R0563
NbD000226.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.4068585280426476	R0563
NbD000226.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.5327534006020914	R0563
NbD000226.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.4736563204642505	R0563
NbD000226.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.6033748107446397	R0563
NbD000226.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.4356934606978662	R0563
NbD000226.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.338682086914722	R0563
NbD000226.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.230034289421608	R0563
NbD000226.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.288413645974432	R0563
NbD000253.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.7127396148122275	R0563
NbD000253.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.9321751820310368	R0563
NbD000253.1	Nb	35S	GFP	3 MaxLFQ Intensity	-1.052393496526514	R0563
NbD000253.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.9500195604808022	R0563
NbD000253.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.1336704891486487	R0563
NbD000253.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.8628013046695715	R0563
NbD000253.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-1.6745127147839725	R0563
NbD000253.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.6049356765614822	R0563
NbD000253.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-1.7241885496730789	R0563
NbD000267.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.7652005463703575	R0563
NbD000267.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.45517176696859696	R0563
NbD000267.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.5925411657805947	R0563
NbD000267.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.12252470834350421	R0563
NbD000267.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.20287823527177454	R0563
NbD000267.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.17384189811550685	R0563
NbD000267.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.39501818943148903	R0563
NbD000267.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.4099901117555744	R0563
NbD000267.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.6711438339325895	R0563
NbD000296.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.06986448615290541	R0563
NbD000296.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.39673951719833056	R0563
NbD000296.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.270219969005284	R0563
NbD000296.1	Nb	35S	LST8	1 MaxLFQ Intensity	0.7182412522196557	R0563
NbD000296.1	Nb	35S	LST8	2 MaxLFQ Intensity	0.8316353851845193	R0563
NbD000296.1	Nb	35S	LST8	3 MaxLFQ Intensity	0.8220536984704836	R0563
NbD000296.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.09392229517720808	R0563
NbD000296.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.04791654769393005	R0563
NbD000296.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.14052072271755378	R0563
NbD000310.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.3572800055936742	R0563
NbD000310.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.3301166465014176	R0563
NbD000310.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.208185487166475	R0563
NbD000310.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.9275677155226808	R0563
NbD000310.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.2034128824848924	R0563
NbD000310.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.8430161258858337	R0563
NbD000310.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.5112576902899377	R0563
NbD000310.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.4654808023196786	R0563
NbD000310.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.43077040322364546	R0563
NbD000317.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.2804904125707144	R0563
NbD000317.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.2715172232623027	R0563
NbD000317.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.2733846718032047	R0563
NbD000317.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.755669271699464	R0563
NbD000317.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.4880205441913752	R0563
NbD000317.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.754072799921353	R0563
NbD000317.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.362951128046787	R0563
NbD000317.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.2707726027294455	R0563
NbD000317.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.27648344594266	R0563
NbD000350.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.2659317209008893	R0563
NbD000350.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.2884374515251946	R0563
NbD000350.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.2810993415035807	R0563
NbD000350.1	Nb	35S	LST8	1 MaxLFQ Intensity	-2.1649370419282072	R0563
NbD000350.1	Nb	35S	LST8	2 MaxLFQ Intensity	-2.226961933771715	R0563
NbD000350.1	Nb	35S	LST8	3 MaxLFQ Intensity	-2.1573745950162135	R0563
