protein	logFC	se	df	t	pval	adjPval	group1	group2	batch
NbD004933.1	0.8968241313257959	0.1734795774729275	8.698940843983824	5.16962367784041	6.546795021020093e-4	0.0011895518566050335	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004937.1	0.3240892483712884	0.11313261430062335	7.921771557983516	2.864684515378539	0.021214347192687208	0.030635327490926453	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004941.1	-0.6609297967149297	0.06422264301032575	8.212621373036825	-10.291226983739444	5.6419447180299315e-6	1.5158273602019082e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004942.1	-0.10476136415787604	0.09793774181974262	8.493737423382395	-1.069673061797693	0.31422037839962536	0.3796557102342994	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004954.1	-0.18098689278211935	0.05414116860895561	9.118877439855702	-3.3428700826413618	0.008464204586874479	0.01294695860806408	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004959.1	-0.31253640632581137	0.1297890591421329	9.054782078311643	-2.408033530650304	0.03921927358237668	0.05441741202014976	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004973.1	-2.5773784523697643	0.07107325118972563	6.980419454829257	-36.263691462342315	3.287914784443682e-9	2.9558155446467548e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004978.1	1.2636109958445718	0.04414689169121449	9.118877439855702	28.62287575494332	3.043281646053766e-10	5.689281336639425e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004990.1	0.07377535131828357	0.22788257275633209	7.824759894795756	0.3237428401212993	0.7546159504774812	0.8052601066953393	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD004999.1	1.3691724548862705	0.11810862735762753	6.118083650998752	11.592484694115349	2.160937349561166e-5	5.0810155117181533e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005010.1	-0.2114863771793319	0.04318141768171092	8.745594162892829	-4.897624685187327	9.244912384922742e-4	0.0016404395764827169	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005013.1	-0.1101134978193554	0.05673819376005674	8.514941163318333	-1.9407297011431208	0.08604996550065096	0.11401880952813322	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005018.1	0.21074399732691151	0.07360668018196474	7.282542172863514	2.863109663496934	0.023227104921967195	0.03334791285069069	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005028.1	-1.246206084082797	0.0876802504444955	7.907271761345577	-14.213076237409778	6.543224122495389e-7	2.2610305784462023e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005053.1	-1.7698360196776015	0.24438059255388958	6.895237964855608	-7.242129995602356	1.8392073895299988e-4	3.6409298256180926e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005088.1	-0.1645994979296005	0.052087083003056645	6.623909782252368	-3.160082854321891	0.017133459593818873	0.025049835557978642	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005096.1	0.7051826110090197	0.09044068687759732	8.274931873572982	7.7971832739772955	4.3578061265375126e-5	9.706220226006784e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005115.1	-0.0645893782958741	0.07319267145545229	8.328416561583815	-0.8824569046531597	0.4022812342682828	0.4739959268751813	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005117.1	-0.9824386276661545	0.10417167322525345	8.516044321669288	-9.43095754583685	8.562445415147196e-6	2.2177974559349376e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005118.1	-0.3113900167648184	0.0751971968706755	7.028404592963511	-4.140979048731676	0.004305724799613264	0.0069002791982324474	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005126.1	-1.4638957383716484	0.12059116869665525	7.229579106225829	-12.139327897667613	4.545497076269179e-6	1.2536593170846107e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005127.1	-0.11087937699879567	0.050985147838549544	7.475191836271151	-2.1747387562728706	0.06371261731733022	0.08592453189671942	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005133.1	1.987787353694833	0.047467335406653946	8.316509699689128	41.8769525751847	5.720148898956194e-11	1.6925579655984287e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005144.1	1.1381390290036313	0.3200612080236046	5.976450968740078	3.5560042906533464	0.012064094027942542	0.018039615835624925	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005156.1	-0.12337950841760566	0.19422953141128857	8.065542937095323	-0.635225279704479	0.5428786037265896	0.6139158697672494	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005157.1	-0.7024566612949885	0.11921548189994512	8.641342380092947	-5.892327490522956	2.709945335080115e-4	5.223483933191525e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005165.1	-0.6103265750586427	0.16017400964488593	8.47912965228878	-3.8103970576235704	0.004632093738435231	0.007399426107732789	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005184.1	0.25637425165689887	0.06331195175489533	9.108214250454264	4.049381586740861	0.0028172422668864285	0.004643097915325918	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005190.1	0.5691917461461606	0.06760892026938892	7.0076497547181615	8.418885316881356	6.530189301960297e-5	1.4129242518720877e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005225.1	-1.1595071393062222	0.07495368822201215	5.362329691565991	-15.469647549187606	1.1801946163445992e-5	2.947517912704119e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005227.1	-0.11472060970996592	0.10924078347928584	8.022914086346853	-1.0501628243239318	0.3242443589359339	0.39007102738980953	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005244.1	-3.4511757358899717	0.10235319058546838	7.381749045666707	-33.718301463285826	2.343545442990238e-9	2.3360793587469928e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005248.1	-0.4491415498837038	0.19626108579960086	8.861906853890734	-2.2884900898913565	0.04832599166441484	0.06609137764205862	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005250.1	0.19453011445913876	0.06074678780654009	6.831056486318334	3.202311125958752	0.015522737463501315	0.02282935845520865	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005252.1	0.045076529100697794	0.06324028200040127	8.710058577353749	0.712781911700074	0.4946314907930909	0.5675432719218105	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005273.1	0.13579451341578444	0.08407401078523581	7.780523846219792	1.615178247683067	0.14599924100681058	0.18675196358958768	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005276.1	0.9030941606806658	0.10411160507080762	8.06082666873844	8.674289096460093	2.3168056082937714e-5	5.402655249403221e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005288.1	0.04485287603050737	0.09222102431071615	8.030177104460686	0.4863628046397163	0.6397052593665403	0.7052067848136447	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005296.1	-2.1938438121998223	0.09273921416991562	5.472038838437501	-23.656053502677835	1.0102729777029522e-6	3.3093106043818113e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005313.1	1.4088647019425038	0.06760976740395919	6.149607962321584	20.83818294366742	6.145244709465955e-7	2.141728031348977e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005333.1	0.08373496314761218	0.05963996692110423	7.184702805513557	1.4040075384076325	0.20203575201095575	0.2527143728961227	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005340.1	0.12233809276502552	0.05493385268095434	7.254679154659091	2.227007333265747	0.059921727661336785	0.08105669972475106	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005344.1	-0.8592938338525262	0.14820599841096196	5.724154535016021	-5.797969333668813	0.001359012161171906	0.002357168608740713	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005345.1	0.22500936879859193	0.055067304253774284	9.118877439855702	4.086079241534144	0.002658738044407686	0.004407881848761982	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005355.1	1.7496662163546324	0.07189907519713624	8.179684791307327	24.335030896535397	6.373305097655857e-9	5.004556621498483e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005359.1	0.6412132500341206	0.07050690386491078	8.502901077848353	9.094332822537023	1.1494390452168517e-5	2.8803666034934905e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005361.1	-0.4587478876795095	0.07390305279017796	6.405351751558948	-6.20742811507347	6.269329061047844e-4	0.001142854436750786	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005368.1	-0.8982956638975033	0.09910050821521751	9.118877439855702	-9.064490990769352	7.365256489289122e-6	1.9289546303718518e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005371.1	-0.4904377778428522	0.07275350974656128	7.308138294485611	-6.741087537237788	2.2060950649592027e-4	4.32127696196305e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005372.1	-2.3809076445303394	0.08817633822524797	7.132359269414479	-27.001661584633624	1.9068370502643636e-8	1.191573138542822e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005381.1	-0.024014723726669154	0.04910234116529276	9.118877439855702	-0.48907492304345757	0.6363367245009846	0.7016664573224084	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005382.1	0.8740558547483548	0.11059123900952147	8.091137286870584	7.903481890397321	4.4730302851841004e-5	9.947983730314864e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005384.1	-1.5078437785373924	0.07363784267196571	6.621968256438743	-20.47647953586011	3.092950607662786e-7	1.189268787868961e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005386.1	0.16151386782077656	0.04977517802823428	8.589392965758918	3.244867707538084	0.010720556554563535	0.016100654348164663	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005403.1	-0.3364333666909165	0.10967293468822163	8.64372912861771	-3.0676061295097985	0.01405232372332104	0.020803771502915312	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005404.1	0.012766234074829479	0.0695230367113986	8.601631533605161	0.1836259559234184	0.8585622583050829	0.892101343257514	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005408.1	0.4799005308159911	0.06023866167816836	7.865593555866547	7.96665326630117	4.948390165414094e-5	1.0896701458388453e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005444.1	-0.09262440488122993	0.05144866511919143	6.455080424983597	-1.8003266881005837	0.1184155375841308	0.1542509101824771	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005445.1	-0.9533733592668825	0.09956738484539111	8.910698430265516	-9.575157173679784	5.510478017024849e-6	1.4849707949376976e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005448.1	-2.7711760564325534	0.06602424498460983	8.234924968629318	-41.97209762987083	6.74011747872566e-11	1.9066820419560463e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005456.1	-0.4348938704334736	0.054371258919609033	7.82913030879895	-7.99859850728284	4.937007095158825e-5	1.087699590787457e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005473.1	2.2591194595504316	0.11334202569906822	6.448070899548873	19.931878273894338	4.904847672135016e-7	1.7716135326676837e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005476.1	0.03220271243575771	0.06486947762041974	8.151909474183448	0.49642318108664524	0.6327039078039398	0.6983500642460482	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005488.1	0.8099565180406293	0.0900385877063349	6.6832134710949775	8.995659957287877	5.6499256729747076e-5	1.2350228917246082e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005493.1	0.10538879252060239	0.06492998293756123	8.301848928167711	1.623114434235223	0.14184685772630445	0.18185703309071113	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005499.1	3.465265174987535	0.10102609850724935	7.7703162820172365	34.300692852539264	9.173203603768958e-10	1.2198176696916578e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005513.1	-0.1281860475074587	0.14796990494743495	8.81241968827754	-0.8662980999615815	0.40929267616311604	0.48149543894070634	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005522.1	-0.17188563490114117	0.07169708782880985	6.4050061283430235	-2.3973865620811567	0.050887823151372316	0.06942497521842184	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005530.1	-1.7061717881250524	0.14348615478477025	6.796245641775953	-11.890846128564224	8.495536588103812e-6	2.201743473065419e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005550.1	-0.9172218969752477	0.05083275422404974	8.458697252818283	-18.04391501063494	4.762505686465177e-8	2.5316885525756627e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
